SKU,Name,Description,Quantity,Location
PROD001,Wireless Earbuds,Enjoy music without wires with these Bluetooth-enabled earbuds. Comes with a charging case for convenience.,100,A1
PROD002,Fitness Tracker,Keep track of your daily activity with this sleek fitness tracker. Monitors steps calories burned and heart rate.,50,A2
PROD003,Portable Charger,Never run out of battery again with this portable charger. Compatible with most devices.,200,A3
PROD004,Smartwatch,Stay connected and on top of your fitness goals with this stylish and functional smartwatch.,75,B1
PROD005,Bluetooth Speaker,Take your music with you anywhere with this portable Bluetooth speaker. Water-resistant and durable.,150,B2
PROD006,Wireless Headphones,Experience premium sound quality without wires with these Bluetooth-enabled headphones. Noise-cancelling feature for a more immersive listening experience.,100,B3
PROD007,Tablet,Stay productive and entertained on-the-go with this powerful tablet. Large screen and long battery life.,50,C1
PROD008,Laptop,Powerful and reliable laptop for all your computing needs. Comes with pre-installed software for your convenience.,25,C2
PROD009,Smart Home Hub,Control your smart home devices with ease using this hub. Voice-activated and easy to set up.,30,C3
PROD010,Smart Thermostat,Save energy and money with this smart thermostat. Can be controlled from your phone and learns your preferences.,40,D1
PROD011,Wireless Keyboard and Mouse,Reduce clutter on your desk with this wireless keyboard and mouse set. Comfortable and easy to use.,75,D2
PROD012,External Hard Drive,Keep your important files safe and secure with this external hard drive. Large storage capacity and easy to use.,100,D3
PROD013,Smart Speaker,Enjoy immersive sound and voice control with this smart speaker. Can be connected to other smart devices for a seamless experience.,50,E1
PROD014,Wireless Mouse,Move and click with ease with this wireless mouse. Ergonomic design for comfortable use.,100,E2
PROD015,Bluetooth Headset,Take calls and listen to music on-the-go with this Bluetooth-enabled headset. Noise-cancelling feature for clear conversations.,75,E3
PROD016,Wireless Charging Pad,Charge your phone without cables with this wireless charging pad. Compatible with most smartphones.,150,F1
PROD017,Smart Plug,Control your appliances with your voice or phone with this smart plug. Can be scheduled to turn on or off at specific times.,100,F2
PROD018,Universal Remote,Control all your home entertainment devices with this universal remote. Easy to program and use.,30,F3
